,c.avgHandBatter.,c.avgPlaceBatter.,c.avgHandPitcher.,c.avgPlacePitcher.,c.sampleHandBatter.,c.samplePlaceBatter.,c.sampleHandPitcher.,c.samplePlacePitcher.,c.avgHandBatter..1,c.avgPlaceBatter..1,c.avgHandPitcher..1,c.avgPlacePitcher..1,c.sampleHandBatter..1,c.samplePlaceBatter..1,c.sampleHandPitcher..1,c.samplePlacePitcher..1,c.avgHandBatter..2,c.avgPlaceBatter..2,c.avgHandPitcher..2,c.avgPlacePitcher..2,c.sampleHandBatter..2,c.samplePlaceBatter..2,c.sampleHandPitcher..2,c.samplePlacePitcher..2,hit,atBats,pitcherInMonth.pitcherInMonth.c.pitcherInMonth.,pitcherInMonth.batterInMonth.c.batterInMonth.,parkFactor,dateColumn
28,0.2773770492,0.2602739726,0.221644757,0.2142635659,1525,1022,3271,3225,0.2843137255,0.2612612613,0.2342995169,0.2119700748,510,333,414,401,0.275862069,0.2705167173,0.2069716776,0.1941309255,464,329,459,443,TRUE,5,0.2492639843,0.2969187675,0.868,2016-08-09
29,0.2583908046,0.2514601906,0.2239101717,0.2142635659,4350,3253,3028,3225,0.2746478873,0.2211538462,0.2133027523,0.2119700748,142,104,436,401,0.3090024331,0.2796934866,0.2028571429,0.1941309255,411,261,350,443,TRUE,5,0.2492639843,0.2344944775,0.868,2016-08-09
30,0.2230960265,0.2191950464,0.221644757,0.2142635659,2416,1615,3271,3225,0.2291262136,0.2144927536,0.2342995169,0.2119700748,515,345,414,401,0.254368932,0.2385321101,0.2069716776,0.1941309255,515,327,459,443,TRUE,5,0.2492639843,0.2255520505,0.868,2016-08-09
31,0,0.2236333517,0.2239101717,0.2142635659,1,1811,3028,3225,0.2119205298,0.2333333333,0.2133027523,0.2119700748,151,90,436,401,0.2513227513,0.22265625,0.2028571429,0.1941309255,378,256,350,443,TRUE,5,0.2492639843,0.2281481481,0.868,2016-08-09
32,0.2225633154,0.2236333517,0.2239101717,0.2142635659,2606,1811,3028,3225,0.2119205298,0.2333333333,0.2133027523,0.2119700748,151,90,436,401,0.2513227513,0.22265625,0.2028571429,0.1941309255,378,256,350,443,TRUE,5,0.2492639843,0.2281481481,0.868,2016-08-09
33,0.2351543943,0.2320819113,0.221644757,0.2142635659,421,293,3271,3225,0.2192513369,0.1983471074,0.2342995169,0.2119700748,187,121,414,401,0.2192513369,0.1983471074,0.2069716776,0.1941309255,187,121,459,443,TRUE,5,0.2492639843,0.236453202,0.868,2016-08-09
34,0.2222222222,0.218579235,0.2239101717,0.2142635659,882,549,3028,3225,0.2426470588,0.2413793103,0.2133027523,0.2119700748,136,87,436,401,0.1444444444,0.0925925926,0.2028571429,0.1941309255,90,54,350,443,TRUE,4,0.2492639843,0.2413793103,0.868,2016-08-09
35,0.2738095238,0.2948717949,0.2119318182,0.2120934494,252,390,3520,2183,0.2549019608,0.2624113475,0.2154929577,0.2235576923,102,141,710,416,0.2549019608,0.2624113475,0.1956912029,0.2006578947,102,141,557,304,TRUE,5,0.2013651877,0.24,0.868,2016-08-09
36,0.2953020134,0.2677966102,0.2119318182,0.2120934494,149,295,3520,2183,0.2380952381,0.25,0.2154929577,0.2235576923,21,40,710,416,0.2380952381,0.25,0.1956912029,0.2006578947,21,40,557,304,TRUE,5,0.2013651877,0.25,0.868,2016-08-09
37,0.280334728,0.2757417103,0.2119318182,0.2120934494,717,1146,3520,2183,0.3069306931,0.3114186851,0.2154929577,0.2235576923,202,289,710,416,0.2937062937,0.285106383,0.1956912029,0.2006578947,143,235,557,304,TRUE,5,0.2013651877,0.2572533849,0.868,2016-08-09
38,0.2425222312,0.2519509476,0.186440678,0.2120934494,1237,1794,944,2183,0.2556390977,0.2763975155,0.2222222222,0.2235576923,266,322,144,416,0.246835443,0.2054263566,0.15625,0.2006578947,158,258,128,304,TRUE,5,0.2013651877,0.2533333333,0.868,2016-08-09
39,0.2559087205,0.255550074,0.2119318182,0.2120934494,1227,2027,3520,2183,0.2709923664,0.261682243,0.2154929577,0.2235576923,262,321,710,416,0.2191780822,0.1704545455,0.1956912029,0.2006578947,146,176,557,304,TRUE,4,0.2013651877,0.2749287749,0.868,2016-08-09
40,0.2563417891,0.2588235294,0.2119318182,0.2120934494,749,1275,3520,2183,0.2114285714,0.2490421456,0.2154929577,0.2235576923,175,261,710,416,0.2040816327,0.2352941176,0.1956912029,0.2006578947,147,289,557,304,FALSE,4,0.2013651877,0.2422586521,0.868,2016-08-09
41,0.223487118,0.2356143079,0.186440678,0.2120934494,1669,2572,944,2183,0.2397260274,0.2388059701,0.2222222222,0.2235576923,146,201,144,416,0.2251308901,0.2182410423,0.15625,0.2006578947,191,307,128,304,TRUE,4,0.2013651877,0.2513368984,0.868,2016-08-09
42,0.2436837816,0.2475884244,0.2119318182,0.2120934494,1227,2177,3520,2183,0.2397959184,0.2483660131,0.2154929577,0.2235576923,196,306,710,416,0.2967741935,0.2736486486,0.1956912029,0.2006578947,155,296,557,304,TRUE,4,0.2013651877,0.2362573099,0.868,2016-08-09
43,0.1224489796,0.1621621622,0.2119318182,0.2120934494,49,74,3520,2183,NA,NA,0.2154929577,0.2235576923,NA,NA,710,416,NA,NA,0.1956912029,0.2006578947,NA,NA,557,304,FALSE,3,0.2013651877,0.1382978723,0.868,2016-08-09
44,0.2192982456,0.2429667519,0.209375,0.2047043865,456,782,2240,1573,0.25,0.2857142857,0.2023809524,0.1727493917,160,231,588,411,0.1458333333,0.2196531792,0.2178217822,0.2183908046,96,173,404,261,TRUE,4,0.2296564195,0.2058823529,0.868,2016-08-09
45,0.2258064516,0.2719298246,0.209375,0.2047043865,62,114,2240,1573,0.2258064516,0.2719298246,0.2023809524,0.1727493917,62,114,588,411,0.2258064516,0.2719298246,0.2178217822,0.2183908046,62,114,404,261,TRUE,4,0.2296564195,0.2480620155,0.868,2016-08-09
46,0.3139059305,0.284710967,0.209375,0.2047043865,978,1851,2240,1573,0.3333333333,0.2678062678,0.2023809524,0.1727493917,210,351,588,411,0.3913043478,0.2938005391,0.2178217822,0.2183908046,161,371,404,261,TRUE,4,0.2296564195,0.280605227,0.868,2016-08-09
47,0.2197452229,0.2309090909,0.209375,0.2047043865,314,550,2240,1573,0.2428571429,0.2158590308,0.2023809524,0.1727493917,140,227,588,411,0.2428571429,0.2158590308,0.2178217822,0.2183908046,140,227,404,261,TRUE,4,0.2296564195,0.2466960352,0.868,2016-08-09
48,0.2361702128,0.2454655381,0.209375,0.2047043865,470,827,2240,1573,0.2679738562,0.2786069652,0.2023809524,0.1727493917,153,201,588,411,0.3170731707,0.2532467532,0.2178217822,0.2183908046,41,154,404,261,FALSE,4,0.2296564195,0.2191011236,0.868,2016-08-09
49,0.2535714286,0.2193347193,0.209375,0.2047043865,560,962,2240,1573,0.2253521127,0.2040816327,0.2023809524,0.1727493917,213,294,588,411,0.3287671233,0.2289719626,0.2178217822,0.2183908046,73,214,404,261,TRUE,3,0.2296564195,0.219941349,0.868,2016-08-09
50,0.2268041237,0.2037037037,0.209375,0.2047043865,97,162,2240,1573,0.2268041237,0.2037037037,0.2023809524,0.1727493917,97,162,588,411,0.2268041237,0.2037037037,0.2178217822,0.2183908046,97,162,404,261,FALSE,4,0.2296564195,0.2285714286,0.868,2016-08-09
51,0.2093663912,0.20703125,0.209375,0.2047043865,363,512,2240,1573,0.1870967742,0.2362637363,0.2023809524,0.1727493917,155,182,588,411,0.2909090909,0.1965811966,0.2178217822,0.2183908046,55,117,404,261,TRUE,4,0.2296564195,0.2033898305,0.868,2016-08-09
